word,definitionUrl,partOfSpeech,cefrLevel,americanPronUrl,britishPronUrl
a,/definition/english/a_1,indefinite article,a1,/media/english/us_pron/a/a__/a__us/a__us_2_rr.mp3,/media/english/uk_pron/a/a__/a__gb/a__gb_2.mp3
abandon,/definition/english/abandon_1,verb,b2,/media/english/us_pron/a/aba/aband/abandon__us_2.mp3,/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3
ability,/definition/english/ability_1,noun,a2,/media/english/us_pron/a/abi/abili/ability__us_4.mp3,/media/english/uk_pron/a/abi/abili/ability__gb_1.mp3
able,/definition/english/able_1,adjective,a2,/media/english/us_pron/a/abl/able_/able__us_2.mp3,/media/english/uk_pron/a/abl/able_/able__gb_1.mp3
abolish,/definition/english/abolish,verb,c1,/media/english/us_pron/a/abo/aboli/abolish__us_1.mp3,/media/english/uk_pron/a/abo/aboli/abolish__gb_2.mp3
abortion,/definition/english/abortion,noun,c1,/media/english/us_pron/a/abo/abort/abortion__us_1.mp3,/media/english/uk_pron/a/abo/abort/abortion__gb_1.mp3
about,/definition/english/about_2,adverb,a1,/media/english/us_pron/a/abo/about/about__us_1.mp3,/media/english/uk_pron/a/abo/about/about__gb_1.mp3
about,/definition/english/about_1,preposition,a1,/media/english/us_pron/a/abo/about/about__us_1.mp3,/media/english/uk_pron/a/abo/about/about__gb_1.mp3
above,/definition/english/above_2,adverb,a1,/media/english/us_pron/a/abo/above/above__us_2.mp3,/media/english/uk_pron/a/abo/above/above__gb_1.mp3
above,/definition/english/above_1,preposition,a1,/media/english/us_pron/a/abo/above/above__us_2.mp3,/media/english/uk_pron/a/abo/above/above__gb_1.mp3
abroad,/definition/english/abroad,adverb,a2,/media/english/us_pron/a/abr/abroa/abroad__us_4.mp3,/media/english/uk_pron/a/abr/abroa/abroad__gb_2.mp3
absence,/definition/english/absence,noun,c1,/media/english/us_pron/a/abs/absen/absence__us_1.mp3,/media/english/uk_pron/a/abs/absen/absence__gb_1.mp3
absent,/definition/english/absent_1,adjective,c1,/media/english/us_pron/a/abs/absen/absent__us_1.mp3,/media/english/uk_pron/a/abs/absen/absent__gb_4.mp3
absolute,/definition/english/absolute_1,adjective,b2,/media/english/us_pron/a/abs/absol/absolute__us_1_rr.mp3,/media/english/uk_pron/a/abs/absol/absolute__gb_1.mp3
absolutely,/definition/english/absolutely,adverb,b1,/media/english/us_pron/a/abs/absol/absolutely__us_1_rr.mp3,/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3
absorb,/definition/english/absorb,verb,b2,/media/english/us_pron/a/abs/absor/absorb__us_2_rr.mp3,/media/english/uk_pron/a/abs/absor/absorb__gb_2.mp3
abstract,/definition/english/abstract_1,adjective,b2,/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3,/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3
absurd,/definition/english/absurd,adjective,c1,/media/english/us_pron/a/abs/absur/absurd__us_1_rr.mp3,/media/english/uk_pron/a/abs/absur/absurd__gb_1.mp3
abundance,/definition/english/abundance,noun,c1,/media/english/us_pron/a/abu/abund/abundance__us_1.mp3,/media/english/uk_pron/a/abu/abund/abundance__gb_1.mp3
abuse,/definition/english/abuse_1,noun,c1,/media/english/us_pron/a/abu/abuse/abuse__us_3.mp3,/media/english/uk_pron/a/abu/abuse/abuse__gb_1.mp3
abuse,/definition/english/abuse_2,verb,c1,/media/english/us_pron/a/abu/abuse/abuse__us_1.mp3,/media/english/uk_pron/a/abu/abuse/abuse__gb_2.mp3
academic,/definition/english/academic_1,adjective,b1,/media/english/us_pron/a/aca/acade/academic__us_2.mp3,/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3
academic,/definition/english/academic_2,noun,b2,/media/english/us_pron/a/aca/acade/academic__us_2.mp3,/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3
academy,/definition/english/academy,noun,c1,/media/english/us_pron/a/aca/acade/academy__us_1.mp3,/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3
accelerate,/definition/english/accelerate,verb,c1,/media/english/us_pron/a/acc/accel/accelerate__us_1.mp3,/media/english/uk_pron/a/acc/accel/accelerate__gb_1.mp3
accent,/definition/english/accent_1,noun,b2,/media/english/us_pron/a/acc/accen/accent__us_1_rr.mp3,/media/english/uk_pron/a/acc/accen/accent__gb_1.mp3
accept,/definition/english/accept,verb,a2,/media/english/us_pron/a/acc/accep/accept__us_1.mp3,/media/english/uk_pron/a/acc/accep/accept__gb_3.mp3
acceptable,/definition/english/acceptable,adjective,b2,/media/english/us_pron/a/acc/accep/acceptable__us_3.mp3,/media/english/uk_pron/a/acc/accep/acceptable__gb_1.mp3
